timestamp,head_tilt,head_pan,Height_ar_marker_10_error,Height_ar_marker_10_expected,Height_ar_marker_10_observed,Height_ar_marker_11_error,Height_ar_marker_11_expected,Height_ar_marker_11_observed,Height_ar_marker_12_error,Height_ar_marker_12_expected,Height_ar_marker_12_observed,Height_ar_marker_13_error,Height_ar_marker_13_expected,Height_ar_marker_13_observed,Height_ar_marker_14_error,Height_ar_marker_14_expected,Height_ar_marker_14_observed,Height_ar_marker_15_error,Height_ar_marker_15_expected,Height_ar_marker_15_observed,Height_ar_marker_16_error,Height_ar_marker_16_expected,Height_ar_marker_16_observed,Height_ar_marker_17_error,Height_ar_marker_17_expected,Height_ar_marker_17_observed,Height_ar_marker_3_error,Height_ar_marker_3_expected,Height_ar_marker_3_observed,Height_ar_marker_4_error,Height_ar_marker_4_expected,Height_ar_marker_4_observed,Height_ar_marker_5_error,Height_ar_marker_5_expected,Height_ar_marker_5_observed,Height_ar_marker_6_error,Height_ar_marker_6_expected,Height_ar_marker_6_observed,Height_ar_marker_7_error,Height_ar_marker_7_expected,Height_ar_marker_7_observed,Height_ar_marker_8_error,Height_ar_marker_8_expected,Height_ar_marker_8_observed,Height_ar_marker_9_error,Height_ar_marker_9_expected,Height_ar_marker_9_observed,X_ar_marker_10_error,X_ar_marker_10_expected,X_ar_marker_10_observed,X_ar_marker_11_error,X_ar_marker_11_expected,X_ar_marker_11_observed,X_ar_marker_12_error,X_ar_marker_12_expected,X_ar_marker_12_observed,X_ar_marker_13_error,X_ar_marker_13_expected,X_ar_marker_13_observed,X_ar_marker_14_error,X_ar_marker_14_expected,X_ar_marker_14_observed,X_ar_marker_15_error,X_ar_marker_15_expected,X_ar_marker_15_observed,X_ar_marker_16_error,X_ar_marker_16_expected,X_ar_marker_16_observed,X_ar_marker_17_error,X_ar_marker_17_expected,X_ar_marker_17_observed,X_ar_marker_3_error,X_ar_marker_3_expected,X_ar_marker_3_observed,X_ar_marker_4_error,X_ar_marker_4_expected,X_ar_marker_4_observed,X_ar_marker_5_error,X_ar_marker_5_expected,X_ar_marker_5_observed,X_ar_marker_6_error,X_ar_marker_6_expected,X_ar_marker_6_observed,X_ar_marker_7_error,X_ar_marker_7_expected,X_ar_marker_7_observed,X_ar_marker_8_error,X_ar_marker_8_expected,X_ar_marker_8_observed,X_ar_marker_9_error,X_ar_marker_9_expected,X_ar_marker_9_observed,ar_marker_10_TO_ar_marker_11_error,ar_marker_10_TO_ar_marker_11_expected,ar_marker_10_TO_ar_marker_11_observed,ar_marker_10_TO_ar_marker_13_error,ar_marker_10_TO_ar_marker_13_expected,ar_marker_10_TO_ar_marker_13_observed,ar_marker_10_TO_ar_marker_9_error,ar_marker_10_TO_ar_marker_9_expected,ar_marker_10_TO_ar_marker_9_observed,ar_marker_11_TO_ar_marker_14_error,ar_marker_11_TO_ar_marker_14_expected,ar_marker_11_TO_ar_marker_14_observed,ar_marker_12_TO_ar_marker_13_error,ar_marker_12_TO_ar_marker_13_expected,ar_marker_12_TO_ar_marker_13_observed,ar_marker_12_TO_ar_marker_15_error,ar_marker_12_TO_ar_marker_15_expected,ar_marker_12_TO_ar_marker_15_observed,ar_marker_12_TO_ar_marker_9_error,ar_marker_12_TO_ar_marker_9_expected,ar_marker_12_TO_ar_marker_9_observed,ar_marker_13_TO_ar_marker_14_error,ar_marker_13_TO_ar_marker_14_expected,ar_marker_13_TO_ar_marker_14_observed,ar_marker_13_TO_ar_marker_16_error,ar_marker_13_TO_ar_marker_16_expected,ar_marker_13_TO_ar_marker_16_observed,ar_marker_14_TO_ar_marker_17_error,ar_marker_14_TO_ar_marker_17_expected,ar_marker_14_TO_ar_marker_17_observed,ar_marker_15_TO_ar_marker_16_error,ar_marker_15_TO_ar_marker_16_expected,ar_marker_15_TO_ar_marker_16_observed,ar_marker_16_TO_ar_marker_17_error,ar_marker_16_TO_ar_marker_17_expected,ar_marker_16_TO_ar_marker_17_observed
2014-11-28 15:21:22,0.06647250080837779,0.009203884727313847,-0.2234813041018855,1.926,1.7025186958981144,-0.22701294175410758,1.924,1.6969870582458924,-0.21656374621159769,1.77,1.5534362537884023,-0.22337026131402804,1.77,1.546629738685972,-0.22696294898371017,1.762,1.5350370510162898,-0.21638979115837942,1.632,1.4156102088416205,-0.2215684509823277,1.633,1.4114315490176723,-0.22740751090280842,1.626,1.3985924890971915,,0.95,,,0.945,,,0.938,,,0.95,,,0.945,,,0.938,,-0.22106487722037604,1.924,1.7029351227796239,0.04062627734367785,1.1639999723434449,1.2046262496871227,0.038343585930679325,1.1639999723434449,1.2023435582741242,0.03238299795031363,1.1639999723434449,1.1963829702937585,0.025005726758229763,1.1639999723434449,1.1890056991016746,0.030672971800511206,1.1639999723434449,1.194672944143956,0.021714918215749446,1.1639999723434449,1.1857148905591943,0.009214357437734577,1.1639999723434449,1.1732143297811795,0.019779304673851472,1.1639999723434449,1.1837792770172963,,1.1639999723434449,,,1.1639999723434449,,,1.1639999723434449,,,1.1629999852180481,,,1.1619999980926514,,,1.166000006198883,,0.03856652394436555,1.166000006198883,1.2045665301432487,0.010329156549472085,0.266,0.2763291565494721,0.0009972723216376822,0.156,0.15699727232163768,0.00802503776067126,0.26,0.26802503776067127,-0.0003678282597408822,0.163,0.16263217174025912,0.007914978403116446,0.263,0.27091497840311646,8.679437946357282e-06,0.138,0.13800867943794637,-0.003873515343443712,0.154,0.15012648465655629,0.009557961847973362,0.268,0.2775579618479734,0.00028535012356947775,0.136,0.1362853501235695,0.0018437233165124745,0.135,0.13684372331651248,0.009721019412155307,0.261,0.2707210194121553,0.01188461154462156,0.267,0.2788846115446216
timestamp,head_tilt,head_pan,Height_ar_marker_10_error,Height_ar_marker_10_expected,Height_ar_marker_10_observed,Height_ar_marker_11_error,Height_ar_marker_11_expected,Height_ar_marker_11_observed,Height_ar_marker_12_error,Height_ar_marker_12_expected,Height_ar_marker_12_observed,Height_ar_marker_13_error,Height_ar_marker_13_expected,Height_ar_marker_13_observed,Height_ar_marker_14_error,Height_ar_marker_14_expected,Height_ar_marker_14_observed,Height_ar_marker_15_error,Height_ar_marker_15_expected,Height_ar_marker_15_observed,Height_ar_marker_16_error,Height_ar_marker_16_expected,Height_ar_marker_16_observed,Height_ar_marker_17_error,Height_ar_marker_17_expected,Height_ar_marker_17_observed,Height_ar_marker_3_error,Height_ar_marker_3_expected,Height_ar_marker_3_observed,Height_ar_marker_4_error,Height_ar_marker_4_expected,Height_ar_marker_4_observed,Height_ar_marker_5_error,Height_ar_marker_5_expected,Height_ar_marker_5_observed,Height_ar_marker_6_error,Height_ar_marker_6_expected,Height_ar_marker_6_observed,Height_ar_marker_7_error,Height_ar_marker_7_expected,Height_ar_marker_7_observed,Height_ar_marker_8_error,Height_ar_marker_8_expected,Height_ar_marker_8_observed,Height_ar_marker_9_error,Height_ar_marker_9_expected,Height_ar_marker_9_observed,X_ar_marker_10_error,X_ar_marker_10_expected,X_ar_marker_10_observed,X_ar_marker_11_error,X_ar_marker_11_expected,X_ar_marker_11_observed,X_ar_marker_12_error,X_ar_marker_12_expected,X_ar_marker_12_observed,X_ar_marker_13_error,X_ar_marker_13_expected,X_ar_marker_13_observed,X_ar_marker_14_error,X_ar_marker_14_expected,X_ar_marker_14_observed,X_ar_marker_15_error,X_ar_marker_15_expected,X_ar_marker_15_observed,X_ar_marker_16_error,X_ar_marker_16_expected,X_ar_marker_16_observed,X_ar_marker_17_error,X_ar_marker_17_expected,X_ar_marker_17_observed,X_ar_marker_3_error,X_ar_marker_3_expected,X_ar_marker_3_observed,X_ar_marker_4_error,X_ar_marker_4_expected,X_ar_marker_4_observed,X_ar_marker_5_error,X_ar_marker_5_expected,X_ar_marker_5_observed,X_ar_marker_6_error,X_ar_marker_6_expected,X_ar_marker_6_observed,X_ar_marker_7_error,X_ar_marker_7_expected,X_ar_marker_7_observed,X_ar_marker_8_error,X_ar_marker_8_expected,X_ar_marker_8_observed,X_ar_marker_9_error,X_ar_marker_9_expected,X_ar_marker_9_observed,ar_marker_10_TO_ar_marker_11_error,ar_marker_10_TO_ar_marker_11_expected,ar_marker_10_TO_ar_marker_11_observed,ar_marker_10_TO_ar_marker_13_error,ar_marker_10_TO_ar_marker_13_expected,ar_marker_10_TO_ar_marker_13_observed,ar_marker_10_TO_ar_marker_9_error,ar_marker_10_TO_ar_marker_9_expected,ar_marker_10_TO_ar_marker_9_observed,ar_marker_11_TO_ar_marker_14_error,ar_marker_11_TO_ar_marker_14_expected,ar_marker_11_TO_ar_marker_14_observed,ar_marker_12_TO_ar_marker_13_error,ar_marker_12_TO_ar_marker_13_expected,ar_marker_12_TO_ar_marker_13_observed,ar_marker_12_TO_ar_marker_15_error,ar_marker_12_TO_ar_marker_15_expected,ar_marker_12_TO_ar_marker_15_observed,ar_marker_12_TO_ar_marker_9_error,ar_marker_12_TO_ar_marker_9_expected,ar_marker_12_TO_ar_marker_9_observed,ar_marker_13_TO_ar_marker_14_error,ar_marker_13_TO_ar_marker_14_expected,ar_marker_13_TO_ar_marker_14_observed,ar_marker_13_TO_ar_marker_16_error,ar_marker_13_TO_ar_marker_16_expected,ar_marker_13_TO_ar_marker_16_observed,ar_marker_14_TO_ar_marker_17_error,ar_marker_14_TO_ar_marker_17_expected,ar_marker_14_TO_ar_marker_17_observed,ar_marker_15_TO_ar_marker_16_error,ar_marker_15_TO_ar_marker_16_expected,ar_marker_15_TO_ar_marker_16_observed,ar_marker_16_TO_ar_marker_17_error,ar_marker_16_TO_ar_marker_17_expected,ar_marker_16_TO_ar_marker_17_observed
2014-11-28 15:36:22,-0.25566346464760686,-0.3021942152134713,,1.926,,,1.924,,,1.77,,,1.77,,,1.762,,,1.632,,-0.2156505356913485,1.633,1.4173494643086515,-0.2368238895485848,1.626,1.389176110451415,,0.95,,,0.945,,,0.938,,,0.95,,,0.945,,,0.938,,,1.924,,,1.1650000190734864,,,1.1669999933242798,,,1.1629999852180481,,,1.169000027179718,,,1.166000006198883,,,1.1639999723434449,,0.018410340090352362,1.1639999723434449,1.1824103124337972,0.03379789290792701,1.1639999723434449,1.1977978652513719,,1.1629999852180481,,,1.1650000190734864,,,1.169000027179718,,,1.1669999933242798,,,1.1700000143051148,,,1.1629999852180481,,,1.1650000190734864,,,0.266,,,0.156,,,0.26,,,0.163,,,0.263,,,0.138,,,0.154,,,0.268,,,0.136,,,0.135,,,0.261,,0.009697084642453502,0.267,0.2766970846424535
2014-11-28 15:38:43,-0.25566346464760686,-0.1932815792735908,,1.926,,,1.924,,,1.77,,,1.77,,,1.762,,-0.20499190738582418,1.632,1.4270080926141757,-0.22552754285717125,1.633,1.4074724571428288,-0.24296975090214779,1.626,1.383030249097852,,0.95,,,0.945,,,0.938,,,0.95,,,0.945,,,0.938,,,1.924,,,1.166000006198883,,,1.1669999933242798,,,1.1610000109672547,,,1.1629999852180481,,,1.1669999933242798,,0.005266825773793116,1.1669999933242798,1.172266819098073,0.020096434733301027,1.1669999933242798,1.1870964280575809,0.034139183565742526,1.1669999933242798,1.2011391768900224,,1.166000006198883,,,1.1650000190734864,,,1.1629999852180481,,,1.169000027179718,,,1.1639999723434449,,,1.1650000190734864,,,1.1610000109672547,,,0.266,,,0.156,,,0.26,,,0.163,,,0.263,,,0.138,,,0.154,,,0.268,,,0.136,,,0.135,,0.0032372569953937336,0.261,0.26423725699539374,0.009999425731060607,0.267,0.2769994257310606
2014-11-28 15:41:03,-0.25566346464760686,-0.09510680884890975,,1.926,,,1.924,,,1.77,,,1.77,,,1.762,,-0.21853466797327292,1.632,1.413465332026727,-0.2324140947544513,1.633,1.4005859052455487,-0.2457515574582001,1.626,1.3802484425417998,,0.95,,,0.945,,,0.938,,,0.95,,,0.945,,,0.938,,,1.924,,,1.1639999723434449,,,1.1629999852180481,,,1.1669999933242798,,,1.1650000190734864,,,1.1629999852180481,,0.044600341884419414,1.1629999852180481,1.2076003271024676,0.03101227060846523,1.1629999852180481,1.1940122558265134,0.031285442217924064,1.1629999852180481,1.1942854274359722,,1.1679999804496766,,,1.166000006198883,,,1.1639999723434449,,,1.1629999852180481,,,1.1639999723434449,,,1.1669999933242798,,,1.1629999852180481,,,0.266,,,0.156,,,0.26,,,0.163,,,0.263,,,0.138,,,0.154,,,0.268,,,0.136,,,0.135,,0.011035773865898213,0.261,0.2720357738658982,0.008742584325859226,0.267,0.27574258432585924
timestamp,head_tilt,head_pan,Height_ar_marker_10_error,Height_ar_marker_10_expected,Height_ar_marker_10_observed,Height_ar_marker_11_error,Height_ar_marker_11_expected,Height_ar_marker_11_observed,Height_ar_marker_12_error,Height_ar_marker_12_expected,Height_ar_marker_12_observed,Height_ar_marker_13_error,Height_ar_marker_13_expected,Height_ar_marker_13_observed,Height_ar_marker_14_error,Height_ar_marker_14_expected,Height_ar_marker_14_observed,Height_ar_marker_15_error,Height_ar_marker_15_expected,Height_ar_marker_15_observed,Height_ar_marker_16_error,Height_ar_marker_16_expected,Height_ar_marker_16_observed,Height_ar_marker_17_error,Height_ar_marker_17_expected,Height_ar_marker_17_observed,Height_ar_marker_3_error,Height_ar_marker_3_expected,Height_ar_marker_3_observed,Height_ar_marker_4_error,Height_ar_marker_4_expected,Height_ar_marker_4_observed,Height_ar_marker_5_error,Height_ar_marker_5_expected,Height_ar_marker_5_observed,Height_ar_marker_6_error,Height_ar_marker_6_expected,Height_ar_marker_6_observed,Height_ar_marker_7_error,Height_ar_marker_7_expected,Height_ar_marker_7_observed,Height_ar_marker_8_error,Height_ar_marker_8_expected,Height_ar_marker_8_observed,Height_ar_marker_9_error,Height_ar_marker_9_expected,Height_ar_marker_9_observed,X_ar_marker_10_error,X_ar_marker_10_expected,X_ar_marker_10_observed,X_ar_marker_11_error,X_ar_marker_11_expected,X_ar_marker_11_observed,X_ar_marker_12_error,X_ar_marker_12_expected,X_ar_marker_12_observed,X_ar_marker_13_error,X_ar_marker_13_expected,X_ar_marker_13_observed,X_ar_marker_14_error,X_ar_marker_14_expected,X_ar_marker_14_observed,X_ar_marker_15_error,X_ar_marker_15_expected,X_ar_marker_15_observed,X_ar_marker_16_error,X_ar_marker_16_expected,X_ar_marker_16_observed,X_ar_marker_17_error,X_ar_marker_17_expected,X_ar_marker_17_observed,X_ar_marker_3_error,X_ar_marker_3_expected,X_ar_marker_3_observed,X_ar_marker_4_error,X_ar_marker_4_expected,X_ar_marker_4_observed,X_ar_marker_5_error,X_ar_marker_5_expected,X_ar_marker_5_observed,X_ar_marker_6_error,X_ar_marker_6_expected,X_ar_marker_6_observed,X_ar_marker_7_error,X_ar_marker_7_expected,X_ar_marker_7_observed,X_ar_marker_8_error,X_ar_marker_8_expected,X_ar_marker_8_observed,X_ar_marker_9_error,X_ar_marker_9_expected,X_ar_marker_9_observed,ar_marker_10_TO_ar_marker_11_error,ar_marker_10_TO_ar_marker_11_expected,ar_marker_10_TO_ar_marker_11_observed,ar_marker_10_TO_ar_marker_13_error,ar_marker_10_TO_ar_marker_13_expected,ar_marker_10_TO_ar_marker_13_observed,ar_marker_10_TO_ar_marker_9_error,ar_marker_10_TO_ar_marker_9_expected,ar_marker_10_TO_ar_marker_9_observed,ar_marker_11_TO_ar_marker_14_error,ar_marker_11_TO_ar_marker_14_expected,ar_marker_11_TO_ar_marker_14_observed,ar_marker_12_TO_ar_marker_13_error,ar_marker_12_TO_ar_marker_13_expected,ar_marker_12_TO_ar_marker_13_observed,ar_marker_12_TO_ar_marker_15_error,ar_marker_12_TO_ar_marker_15_expected,ar_marker_12_TO_ar_marker_15_observed,ar_marker_12_TO_ar_marker_9_error,ar_marker_12_TO_ar_marker_9_expected,ar_marker_12_TO_ar_marker_9_observed,ar_marker_13_TO_ar_marker_14_error,ar_marker_13_TO_ar_marker_14_expected,ar_marker_13_TO_ar_marker_14_observed,ar_marker_13_TO_ar_marker_16_error,ar_marker_13_TO_ar_marker_16_expected,ar_marker_13_TO_ar_marker_16_observed,ar_marker_14_TO_ar_marker_17_error,ar_marker_14_TO_ar_marker_17_expected,ar_marker_14_TO_ar_marker_17_observed,ar_marker_15_TO_ar_marker_16_error,ar_marker_15_TO_ar_marker_16_expected,ar_marker_15_TO_ar_marker_16_observed,ar_marker_16_TO_ar_marker_17_error,ar_marker_16_TO_ar_marker_17_expected,ar_marker_16_TO_ar_marker_17_observed
2014-11-28 15:43:46,-0.25566346464760686,-0.3021942152134713,,1.926,,,1.924,,,1.77,,,1.77,,,1.762,,,1.632,,-0.21562478765711268,1.633,1.4173752123428873,-0.23668955810736603,1.626,1.3893104418926339,,0.95,,,0.945,,,0.938,,,0.95,,,0.945,,,0.938,,,1.924,,,1.1669999933242798,,,1.1650000190734864,,,1.1650000190734864,,,1.1669999933242798,,,1.1669999933242798,,,1.1669999933242798,,0.016646356094983883,1.1669999933242798,1.1836463494192637,0.03392453755422031,1.1669999933242798,1.2009245308785002,,1.1639999723434449,,,1.166000006198883,,,1.1629999852180481,,,1.1650000190734864,,,1.1629999852180481,,,1.1679999804496766,,,1.1629999852180481,,,0.266,,,0.156,,,0.26,,,0.163,,,0.263,,,0.138,,,0.154,,,0.268,,,0.136,,,0.135,,,0.261,,0.010348245231597886,0.267,0.2773482452315979
2014-11-28 15:45:31,-0.25566346464760686,-0.10277671278833796,,1.926,,,1.924,,,1.77,,,1.77,,,1.762,,-0.2168222451281121,1.632,1.4151777548718878,-0.23156937686250822,1.633,1.4014306231374918,-0.24515788806539462,1.626,1.3808421119346053,,0.95,,,0.945,,,0.938,,,0.95,,,0.945,,,0.938,,,1.924,,,1.1619999980926514,,,1.1629999852180481,,,1.1669999933242798,,,1.166000006198883,,,1.166000006198883,,0.03796934963045784,1.166000006198883,1.203969355829341,0.025872167838794535,1.166000006198883,1.1918721740376776,0.028971250810242433,1.166000006198883,1.1949712570091255,,1.1650000190734864,,,1.1639999723434449,,,1.1610000109672547,,,1.166000006198883,,,1.1669999933242798,,,1.1619999980926514,,,1.1650000190734864,,,0.266,,,0.156,,,0.26,,,0.163,,,0.263,,,0.138,,,0.154,,,0.268,,,0.136,,,0.135,,0.01016616872299192,0.261,0.27116616872299193,0.008723360104119338,0.267,0.27572336010411935
2014-11-28 15:47:25,-0.25566346464760686,0.09510680884890975,,1.926,,,1.924,,,1.77,,,1.77,,,1.762,,-0.23461634500359474,1.632,1.3973836549964052,-0.2414877799457582,1.633,1.3915122200542418,,1.626,,,0.95,,,0.945,,,0.938,,,0.95,,,0.945,,,0.938,,,1.924,,,1.1669999933242798,,,1.169000027179718,,,1.1650000190734864,,,1.160000023841858,,,1.1629999852180481,,0.05043793120813045,1.1629999852180481,1.2134379164261786,0.03099678470730005,1.1629999852180481,1.1939967699253482,,1.1669999933242798,,,1.1639999723434449,,,1.1650000190734864,,,1.1650000190734864,,,1.166000006198883,,,1.160000023841858,,,1.1629999852180481,,,1.1639999723434449,,,0.266,,,0.156,,,0.26,,,0.163,,,0.263,,,0.138,,,0.154,,,0.268,,,0.136,,,0.135,,0.010026395977654645,0.261,0.27102639597765465,,0.267,
2014-11-28 15:49:00,-0.07158577010132992,-0.3021942152134713,,1.926,,,1.924,,,1.77,,-0.2095962082659184,1.77,1.5604037917340816,-0.2234670645741379,1.762,1.5385329354258621,,1.632,,-0.2069617445870724,1.633,1.4260382554129276,-0.2238642682359413,1.626,1.4021357317640586,,0.95,,,0.945,,,0.938,,,0.95,,,0.945,,,0.938,,,1.924,,,1.1669999933242798,,,1.1650000190734864,,,1.166000006198883,,0.021521689556121437,1.166000006198883,1.1875216957550045,0.037896283289334365,1.166000006198883,1.2038962894882175,,1.1650000190734864,,0.007677693209249714,1.1650000190734864,1.172677712282736,0.022927486774007022,1.1650000190734864,1.1879275058474934,,1.1629999852180481,,,1.1629999852180481,,,1.1650000190734864,,,1.1639999723434449,,,1.1669999933242798,,,1.166000006198883,,,1.1650000190734864,,,0.266,,,0.156,,,0.26,,,0.163,,,0.263,,-0.0005591095616593045,0.138,0.1374408904383407,,0.154,,0.009168407498046094,0.268,0.2771684074980461,-0.0005542398965154849,0.136,0.13544576010348452,0.002511331196946104,0.135,0.1375113311969461,,0.261,,0.009212038965303482,0.267,0.2762120389653035
2014-11-28 15:50:19,-0.07158577010132992,-0.10277671278833796,,1.926,,,1.924,,-0.20862460205784572,1.77,1.5613753979421543,-0.22157184040093103,1.77,1.548428159599069,-0.23057537267419348,1.762,1.5314246273258065,-0.20903019827087843,1.632,1.4229698017291215,-0.21977564280381578,1.633,1.4132243571961842,-0.2316887555213336,1.626,1.3943112444786663,,0.95,,,0.945,,,0.938,,,0.95,,,0.945,,,0.938,,,1.924,,,1.1679999804496766,,,1.166000006198883,,0.03962645932177167,1.166000006198883,1.2056264655206548,0.030509954409480677,1.166000006198883,1.1965099606083638,0.03809492206113796,1.166000006198883,1.204094928260021,0.030033946917362275,1.166000006198883,1.1960339531162454,0.015124560365016526,1.166000006198883,1.1811245665638996,0.0334817299971919,1.166000006198883,1.199481736196075,,1.1679999804496766,,,1.1629999852180481,,,1.1629999852180481,,,1.166000006198883,,,1.1639999723434449,,,1.1639999723434449,,,1.169000027179718,,,0.266,,,0.156,,,0.26,,,0.163,,0.010149882248261799,0.263,0.2731498822482618,0.0008871934520580105,0.138,0.13888719345205802,,0.154,,0.01026590801709304,0.268,0.27826590801709306,-0.0004168567759734454,0.136,0.13558314322402656,0.0023843866029802374,0.135,0.13738438660298025,0.011331816239762704,0.261,0.2723318162397627,0.013189163313422458,0.267,0.2801891633134225
2014-11-28 15:51:55,-0.07158577010132992,0.0966407896367954,,1.926,,,1.924,,-0.22259092395624402,1.77,1.547409076043756,-0.22964734522557073,1.77,1.5403526547744293,,1.762,,-0.2225745848570384,1.632,1.4094254151429615,-0.2273269076860278,1.633,1.4056730923139722,,1.626,,,0.95,,,0.945,,,0.938,,,0.95,,,0.945,,,0.938,,,1.924,,,1.1700000143051148,,,1.1669999933242798,,0.041591141048516356,1.1669999933242798,1.2085911343727962,0.03026508250579729,1.1669999933242798,1.1972650758300771,,1.1629999852180481,,0.03736460562693922,1.1629999852180481,1.2003645908449874,0.022527276804019003,1.1629999852180481,1.1855272620220672,,1.166000006198883,,,1.1629999852180481,,,1.1650000190734864,,,1.166000006198883,,,1.1679999804496766,,,1.1639999723434449,,,1.166000006198883,,,1.1650000190734864,,,0.266,,,0.156,,,0.26,,,0.163,,0.008308949156219325,0.263,0.27130894915621934,0.00014774735454956,0.138,0.13814774735454957,,0.154,,,0.268,,-0.0004417241998946886,0.136,0.13555827580010532,0.0004293156533892728,0.135,0.13542931565338928,0.009973376900345665,0.261,0.2709733769003457,,0.267,
2014-11-28 15:52:48,0.14317154020265985,-0.303728196001357,-0.2036416092675397,1.926,1.7223583907324602,-0.21066586228341366,1.924,1.7133341377165863,-0.19860053796262145,1.77,1.5713994620373786,-0.20403690396659035,1.77,1.5659630960334097,-0.21356754685460455,1.762,1.5484324531453955,-0.1948899129208117,1.632,1.4371100870791882,-0.20244273058696982,1.633,1.4305572694130302,-0.2138933529948841,1.626,1.4121066470051158,,0.95,,,0.945,,,0.938,,,0.95,,,0.945,,,0.938,,-0.22037173962260637,1.924,1.7036282603773936,0.02482886797174899,1.1650000190734864,1.1898288870452354,0.04236389780986527,1.1650000190734864,1.2073639168833517,-0.004666249897138819,1.1650000190734864,1.1603337691763476,0.010441256338089122,1.1650000190734864,1.1754412754115755,0.018641502659830778,1.1650000190734864,1.1836415217333172,-0.01720958516960347,1.1650000190734864,1.147790433903883,-0.0013883689807181465,1.1650000190734864,1.1636116500927682,0.011007965277607834,1.1650000190734864,1.1760079843510942,,1.1639999723434449,,,1.166000006198883,,,1.1650000190734864,,,1.1650000190734864,,,1.1619999980926514,,,1.1629999852180481,,-0.07678520347618512,1.1650000190734864,1.0882148155973013,0.010724796355352673,0.266,0.2767247963553527,0.0012133853664938188,0.156,0.15721338536649382,0.005119423883236551,0.26,0.26511942388323656,0.0028199995324501292,0.163,0.16581999953245014,,0.263,,-0.0028709116809798874,0.138,0.13512908831902012,,0.154,,0.00794979511281002,0.268,0.27594979511281004,-0.0001840698260659468,0.136,0.13581593017393406,0.002841157349122103,0.135,0.1378411573491221,,0.261,,0.00766731204607074,0.267,0.27466731204607076
2014-11-28 15:53:40,0.14317154020265985,-0.10277671278833796,-0.2119548798205777,1.926,1.7140451201794222,-0.2139743567406105,1.924,1.7100256432593894,-0.20394138104616344,1.77,1.5660586189538366,-0.21238279885506484,1.77,1.5576172011449352,-0.21691955763905568,1.762,1.5450804423609443,-0.20433707856057515,1.632,1.4276629214394247,-0.2108641970496934,1.633,1.4221358029503066,-0.21801507194198022,1.626,1.4079849280580197,,0.95,,,0.945,,,0.938,,,0.95,,,0.945,,,0.938,,-0.2079778672617565,1.924,1.7160221327382434,0.03354445638262393,1.1619999980926514,1.1955444544752754,0.05246769340679114,1.1619999980926514,1.2144676914994426,0.026433405723251813,1.1619999980926514,1.1884334038159032,0.017140144828200476,1.1619999980926514,1.179140142920852,0.03273250089837321,1.1619999980926514,1.1947324989910246,0.018467306094793745,1.1619999980926514,1.1804673041874452,0.00671754331284502,1.1619999980926514,1.1687175414054964,0.019526062297492652,1.1619999980926514,1.181526060390144,,1.1639999723434449,,,1.166000006198883,,,1.166000006198883,,,1.1669999933242798,,,1.166000006198883,,,1.1669999933242798,,0.028881525241128525,1.1669999933242798,1.1958815185654084,0.013333913719471902,0.266,0.2793339137194719,0.0012968123931638709,0.156,0.15729681239316387,0.008434937015313282,0.26,0.2684349370153133,0.0032763388981476016,0.163,0.1662763388981476,0.010349251357542555,0.263,0.27334925135754257,0.0013748773145415838,0.138,0.1393748773145416,-0.003978012224198246,0.154,0.15002198777580175,0.010586558999162388,0.268,0.2785865589991624,-0.00021145443838349598,0.136,0.1357885455616165,0.0031161310570142764,0.135,0.13811613105701429,0.010300018457715387,0.261,0.2713000184577154,0.010068252865452099,0.267,0.2770682528654521
